assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,position,init_price,team_code,gw,id,total_points,total_points_1,total_points_2,total_points_3,total_points_4
0,0,5,0,1.5,523,298,1,0,1.1,7.0,20,1,0,0,0,0,0,29764,1.0,1.0,2.0,-1014,2350,3364,73,1,0,3.0,73.0,6.0,30,200826,3,2,6,1,1
0,0,22,1,43.8,523,309,0,0,6.5,19.6,90,21,0,0,0,0,0,29293,0.0,2.0,2.0,-827,428,1255,73,1,0,3.0,73.0,6.0,31,200826,2,6,1,1,6
0,0,12,0,26.1,523,318,3,0,7.3,16.6,90,49,0,0,0,0,0,30015,1.0,3.0,30.0,432,1031,599,73,0,0,3.0,73.0,6.0,32,200826,6,1,1,6,3
1,0,20,1,15.6,523,329,0,0,2.8,8.4,90,11,0,0,0,0,0,29800,0.0,1.0,4.0,-382,687,1069,73,1,0,3.0,73.0,6.0,33,200826,1,1,6,3,6
0,0,2,0,3.0,523,333,0,0,0.6,2.6,45,91,0,0,0,0,0,30701,0.0,0.0,0.0,570,1184,614,73,0,0,3.0,73.0,6.0,34,200826,1,6,3,6,-999
0,0,9,0,12.9,523,348,1,0,2.0,6.4,83,3,0,0,0,0,0,29937,1.0,2.0,1.0,-810,656,1466,73,1,1,3.0,73.0,6.0,35,200826,6,3,6,-999,-999
1,1,26,0,31.9,523,358,1,0,6.5,25.2,62,4,0,0,0,0,0,29517,3.0,1.0,8.0,-567,365,932,73,0,0,3.0,73.0,6.0,36,200826,3,6,-999,-999,-999
0,0,7,1,16.2,523,368,0,0,2.8,11.8,76,13,0,0,0,0,0,31242,0.0,3.0,0.0,1303,1770,467,73,1,0,3.0,73.0,6.0,37,200826,6,-999,-999,-999,-999
1,2,24,0,38.0,523,374,1,0,9.5,37.6,59,31,0,0,0,0,0,31012,1.0,1.0,19.0,-165,1008,1173,73,0,0,3.0,73.0,6.0,38,200826,-999,-999,-999,-999,-999
0,0,0,0,0.0,584,245,0,0,0.0,0.0,0,54,0,0,0,0,0,167,0.0,2.0,0.0,98,117,19,40,1,0,1.0,40.0,31.0,25,201595,0,0,0,0,0
0,0,0,0,0.0,584,252,0,0,0.0,0.0,0,35,0,0,0,0,0,300,1.0,1.0,0.0,117,172,55,40,1,0,1.0,40.0,31.0,26,201595,0,0,0,0,-999
0,0,0,0,0.0,584,267,0,0,0.0,0.0,0,13,0,0,0,0,0,567,4.0,1.0,0.0,95,157,62,40,0,0,1.0,40.0,31.0,27,201595,0,0,0,-999,0
0,0,0,0,0.0,584,273,0,0,0.0,0.0,0,1,0,0,0,0,0,519,3.0,1.0,0.0,32,57,25,40,1,0,1.0,40.0,31.0,28,201595,0,0,-999,0,0
0,0,0,0,0.0,584,283,0,0,0.0,0.0,0,90,0,0,0,0,0,568,3.0,1.0,0.0,28,53,25,40,0,0,1.0,40.0,31.0,29,201595,0,-999,0,0,0
0,0,0,0,0.0,584,294,0,0,0.0,0.0,0,36,0,0,0,0,0,617,2.0,1.0,0.0,23,57,34,40,1,0,1.0,40.0,31.0,30,201595,-999,0,0,0,0
0,0,0,0,0.0,584,307,0,0,0.0,0.0,0,6,0,0,0,0,0,830,0.0,2.0,0.0,44,83,39,40,0,0,1.0,40.0,31.0,32,201595,0,0,0,0,0
0,0,0,0,0.0,584,315,0,0,0.0,0.0,0,97,0,0,0,0,0,830,0.0,2.0,0.0,44,83,39,40,1,0,1.0,40.0,31.0,32,201595,0,0,0,0,0
0,0,0,0,0.0,584,326,0,0,0.0,0.0,0,4,0,0,0,0,0,801,1.0,0.0,0.0,46,81,35,40,0,0,1.0,40.0,31.0,33,201595,0,0,0,0,0
0,0,0,0,0.0,584,333,0,0,0.0,0.0,0,43,0,0,0,0,0,772,3.0,1.0,0.0,-20,32,52,40,1,0,1.0,40.0,31.0,34,201595,0,0,0,0,-999
0,0,0,0,0.0,584,341,0,0,0.0,0.0,0,3,0,0,0,0,0,792,3.0,2.0,0.0,2,41,39,40,0,0,1.0,40.0,31.0,35,201595,0,0,0,-999,-999
0,0,0,0,0.0,584,353,0,0,0.0,0.0,0,11,0,0,0,0,0,820,0.0,0.0,0.0,27,45,18,40,1,0,1.0,40.0,31.0,36,201595,0,0,-999,-999,-999
0,0,0,0,0.0,584,363,0,0,0.0,0.0,0,99,0,0,0,0,0,865,3.0,2.0,0.0,27,62,35,40,0,0,1.0,40.0,31.0,37,201595,0,-999,-999,-999,-999
0,0,0,0,0.0,584,373,0,0,0.0,0.0,0,98,0,0,0,0,0,911,3.0,5.0,0.0,32,64,32,40,1,0,1.0,40.0,31.0,38,201595,-999,-999,-999,-999,-999
0,0,1,0,17.8,571,217,0,0,7.7,6.0,45,20,0,0,0,0,0,258,2.0,1.0,53.0,253,282,29,55,1,0,3.0,55.0,13.0,22,201666,5,0,2,2,5
1,0,13,0,2.7,571,230,3,0,3.5,3.6,72,39,0,0,0,0,0,499,3.0,4.0,29.0,199,309,110,55,0,0,3.0,55.0,13.0,23,201666,0,2,2,5,2
0,0,0,0,0.0,571,237,0,0,0.0,0.0,0,14,0,0,0,0,0,1179,1.0,1.0,0.0,578,757,179,55,0,0,3.0,55.0,13.0,24,201666,2,2,5,2,2
